39999,0.887250,0.887250
59999,0.887350,0.887450
79999,0.887517,0.887850
99999,0.885950,0.881250
119999,0.884160,0.877000
139999,0.882158,0.872150
159999,0.881107,0.874800
179999,0.877919,0.855600
199999,0.871444,0.819650
219999,0.860655,0.763550
239999,0.844827,0.686550
259999,0.826333,0.622900
279999,0.807931,0.587100
299999,0.793018,0.599150
319999,0.781467,0.619750
339999,0.771956,0.629300
359999,0.766124,0.672800
379999,0.758722,0.632900
399999,0.752592,0.642250
419999,0.747953,0.659800
439999,0.742443,0.632250
459999,0.737898,0.642450
479999,0.735154,0.674800
499999,0.732529,0.672150
519999,0.737706,0.861950
539999,0.743481,0.887850
559999,0.748820,0.887650
579999,0.753627,0.883400
599999,0.758072,0.882550
619999,0.762063,0.877800
639999,0.765765,0.876800
659999,0.769270,0.877950
679999,0.771956,0.857900
699999,0.773496,0.824300
719999,0.773046,0.757750
739999,0.770033,0.664600
759999,0.765980,0.620050
779999,0.762472,0.632700
799999,0.760014,0.666600
819999,0.758718,0.708150
839999,0.758040,0.730950
859999,0.757236,0.724250
879999,0.757173,0.754550
899999,0.756952,0.747450
919999,0.756824,0.751200
939999,0.756964,0.763250
959999,0.756989,0.758150
979999,0.757070,0.760850
999999,0.757154,0.761200
