23239,0.854389,0.854389
34859,0.907530,0.960671
46479,0.932100,0.981239
58099,0.943868,0.979174
69719,0.945439,0.951721
81339,0.945525,0.945955
92959,0.948021,0.962995
104579,0.948559,0.952324
116199,0.949378,0.955938
127819,0.949897,0.954561
139439,0.951721,0.969966
151059,0.952625,0.962565
162679,0.953277,0.961102
174299,0.953276,0.953270
185919,0.953087,0.950430
197539,0.952964,0.951119
209159,0.953220,0.957315
220779,0.953447,0.957315
232399,0.953429,0.953098
244019,0.952552,0.935886
255639,0.952488,0.951205
267259,0.951889,0.939329
278879,0.951343,0.939329
290499,0.951198,0.947849
302119,0.951191,0.951033
313739,0.950904,0.943718
325359,0.951195,0.958778
336979,0.951100,0.948537
348599,0.950852,0.943890
360219,0.950915,0.952754
371839,0.950941,0.951721
383459,0.951073,0.955164
395079,0.951205,0.955422
406699,0.950985,0.943718
418319,0.951200,0.958520
429939,0.951427,0.959380
441559,0.951661,0.960069
453179,0.951952,0.962737
464799,0.952158,0.959983
476419,0.952061,0.948279
488039,0.952246,0.959639
499659,0.952297,0.954389
511279,0.952410,0.957143
522899,0.952466,0.954905
534519,0.952882,0.971170
546139,0.953070,0.961532
557759,0.953446,0.970740
569379,0.953398,0.951119
580999,0.953089,0.938296
