learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.24512306,0.0,1000.0,78.5,57.10808761919962,59.28030303030304,54.926624737945495,1000.0,0.0
2000.0,11.954080154,0.0,2000.0,80.0,60.124888848127675,59.7585513078471,59.7585513078471,2000.0,0.0
3000.0,19.809868153,0.0,3000.0,80.80000000000001,61.60506813100671,59.235668789808926,58.79828326180259,3000.0,0.0
4000.0,28.277947095,0.0,4000.0,84.0,68.04205665344405,68.25396825396824,67.54563894523325,4000.0,0.0
5000.0,36.086193673,0.0,5000.0,83.1,66.24212982198216,64.86486486486486,65.5804480651731,5000.0,0.0
6000.0,44.092006219,0.0,6000.0,84.3,68.64289651756397,69.5736434108527,67.22338204592901,6000.0,0.0
7000.0,52.377430657,0.0,7000.0,84.8,69.55908741348372,70.25440313111545,68.3991683991684,7000.0,0.0
8000.0,59.832117531,0.0,8000.0,85.39999999999999,70.76913220360701,70.08196721311475,70.44534412955466,8000.0,0.0
9000.0,67.970979886,0.0,9000.0,83.6,67.22163372174364,66.73427991886409,65.61844863731655,9000.0,0.0
10000.0,76.592883954,0.0,10000.0,82.8,65.64466193947868,64.16666666666666,64.09185803757828,10000.0,0.0
11000.0,84.736241482,0.0,11000.0,85.5,71.02920256381566,69.79166666666666,70.58823529411764,11000.0,0.0
12000.0,92.722175497,0.0,12000.0,85.3,70.47244094488188,72.31638418079096,69.24686192468619,12000.0,0.0
13000.0,100.733267195,0.0,13000.0,83.6,66.98447465051858,68.15533980582524,65.54621848739495,13000.0,0.0
14000.0,108.98593834,0.0,14000.0,84.1,68.16255916958343,69.1860465116279,67.81376518218623,14000.0,0.0
15000.0,116.846638688,0.0,15000.0,85.1,70.01650098603453,68.89352818371607,69.65376782077392,15000.0,0.0
16000.0,124.524563375,0.0,16000.0,83.89999999999999,67.85400527114447,66.66666666666666,67.47474747474746,16000.0,0.0
17000.0,132.876326661,0.0,17000.0,84.89999999999999,69.84703861975318,70.56530214424951,69.55645161290323,17000.0,0.0
18000.0,142.175355775,0.0,18000.0,85.39999999999999,70.7209465557004,70.56451612903226,70.38539553752535,18000.0,0.0
19000.0,150.012586028,0.0,19000.0,84.6,69.29738868309721,69.13827655310621,68.1159420289855,19000.0,0.0
20000.0,157.70486601,0.0,20000.0,84.0,67.96476123736109,68.56581532416503,67.41344195519348,20000.0,0.0
21000.0,165.440739424,0.0,21000.0,83.7,67.1997875029178,66.93711967545639,65.82809224318657,21000.0,0.0
22000.0,173.345475764,0.0,22000.0,85.8,71.45613894025891,71.4859437751004,70.53941908713692,22000.0,0.0
23000.0,180.64607464,0.0,23000.0,81.8,63.588202577635144,63.15789473684209,63.38028169014084,23000.0,0.0
24000.0,188.065883464,0.0,24000.0,84.7,69.06265923631275,69.64285714285714,67.3773987206823,24000.0,0.0
25000.0,195.42872384,0.0,25000.0,82.19999999999999,64.47970753628856,63.29896907216494,64.25702811244979,25000.0,0.0
26000.0,202.819102814,0.0,26000.0,82.19999999999999,64.49047826138997,63.37448559670781,60.53215077605321,26000.0,0.0
27000.0,210.159337769,0.0,27000.0,84.3,68.6,70.09523809523809,68.34677419354837,27000.0,0.0
