learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.237958397,0.0,1000.0,83.5,66.66909073279518,67.06586826347305,64.20824295010846,1000.0,0.0
2000.0,0.66371708,0.0,2000.0,88.8,77.43891384485224,78.03921568627452,75.91397849462366,2000.0,0.0
3000.0,0.88660007,0.0,3000.0,88.7,77.20800019363114,76.93877551020408,75.48806941431671,3000.0,0.0
4000.0,1.119967584,0.0,4000.0,89.60000000000001,79.04687455927922,79.36507936507937,77.91932059447984,4000.0,0.0
5000.0,1.309400969,0.0,5000.0,89.4,78.40929459499095,78.45528455284553,76.01809954751131,5000.0,0.0
6000.0,1.479552664,0.0,6000.0,88.2,76.38186126945494,77.48091603053436,76.01626016260163,6000.0,0.0
7000.0,1.636396643,0.0,7000.0,87.9,75.76063527168121,75.50607287449392,75.1028806584362,7000.0,0.0
8000.0,1.75761244,0.0,8000.0,88.8,77.24456002763161,78.544061302682,74.8314606741573,8000.0,0.0
9000.0,1.894537541,0.0,9000.0,88.2,76.16662357807652,75.1578947368421,74.56896551724138,9000.0,0.0
10000.0,2.025027274,0.0,10000.0,89.2,78.34152210969619,78.52882703777337,77.26315789473685,10000.0,0.0
11000.0,2.16032057,0.0,11000.0,89.2,78.1937125204434,77.26315789473685,76.36761487964989,11000.0,0.0
12000.0,2.305668103,0.0,12000.0,89.3,78.48156252011069,78.89546351084813,77.13675213675214,12000.0,0.0
13000.0,2.450878504,0.0,13000.0,87.5,74.87901734754578,75.5859375,73.51694915254238,13000.0,0.0
14000.0,2.575637138,0.0,14000.0,89.5,78.87731947149041,78.87323943661973,77.51605995717345,14000.0,0.0
15000.0,2.701280096,0.0,15000.0,88.9,77.69740807715492,78.36257309941521,76.72955974842768,15000.0,0.0
16000.0,2.839120787,0.0,16000.0,87.7,74.9979673144158,75.15151515151514,72.04545454545455,16000.0,0.0
17000.0,2.975981111,0.0,17000.0,88.9,77.72140110309171,78.52998065764024,76.82672233820459,17000.0,0.0
18000.0,3.110877486,0.0,18000.0,88.0,75.61966680211296,76.33136094674556,73.33333333333333,18000.0,0.0
19000.0,3.245360752,0.0,19000.0,89.2,78.2033946194676,78.90625,76.47058823529413,19000.0,0.0
20000.0,3.397848463,0.0,20000.0,87.0,73.74257217762947,73.41513292433538,71.55361050328227,20000.0,0.0
21000.0,3.526864205,0.0,21000.0,87.9,75.45658858751652,76.73076923076924,72.93064876957494,21000.0,0.0
22000.0,3.659706579,0.0,22000.0,88.8,77.32866951677678,76.81159420289855,75.43859649122807,22000.0,0.0
23000.0,3.787565262,0.0,23000.0,90.9,81.65278192214328,82.15686274509805,80.47210300429185,23000.0,0.0
24000.0,3.937037009,0.0,24000.0,87.7,75.33211397766654,74.949083503055,74.58677685950413,24000.0,0.0
25000.0,4.067746921,0.0,25000.0,88.6,77.21749696233293,77.77777777777779,77.69080234833659,25000.0,0.0
26000.0,4.206925817,0.0,26000.0,88.8,77.23623503587326,77.99607072691552,76.11940298507463,26000.0,0.0
27000.0,4.360459309,0.0,27000.0,89.0,77.95308416309908,78.30374753451676,77.36625514403292,27000.0,0.0
